,Unnamed: 0,Windows (CR/LF),Unix-like systems (including macOS)[105] (LF),Classic Mac OS (CR)
0,Acme,,,
1,AkelPad,,,
2,Alphatk,,,
3,Aquamacs,,,
4,Atom,,,
5,BBEdit,,,
6,Bluefish,,,
7,Brackets,,,
8,Coda,,,
9,ConTEXT,,,
10,Crimson Editor,,,
11,CudaText,,,
12,ed,,,
13,Editra,,,
14,EmEditor,,,
15,Geany,,,
16,gedit,,,
17,GNU Emacs[co],,,
18,JED,,,
19,jEdit,,,
20,JOE[106],,,
21,JOVE,,,
22,Kate,,,
23,KEDIT,,,
24,Komodo Edit,,,
25,Komodo IDE,,,
26,KWrite,,,
27,LE,,,
28,Metapad,,,?
29,MS-DOS Editor,,,
30,mined,,,
31,Nano,,,
32,NEdit,,,
33,Notepad,,,
34,Notepad++,,,
35,nvi,?,,?
36,Pico,,,
37,PolyEdit,,,
38,PSPad,,,
39,RJ TextEd,,,
40,Sam,?,?,?
41,SciTE,,,
42,SlickEdit,,,
43,Smultron,,,
44,Source Insight,,,
45,SubEthaEdit,,,
46,TED Notepad,,,
47,TextEdit,,,
48,TextMate,,,
49,TextPad,,,
50,TextWrangler,,,
51,The SemWare Editor,,,
52,UltraEdit,,,
53,VEDIT,,,
54,vi,,,
55,Vim,,,
56,Visual Studio Code,,,
57,XEmacs,,,
58,,Windows (CR/LF),Unix-like systems (including macOS) (LF),Classic Mac OS (CR)
