,Title,License,3D rendering support
0,3D-Coat,Commercial software,Yes
1,3D Slash,Freemium,Yes
2,3DVIA Shape,Commercial software,No
3,AC3D,Commercial software,No
4,Adobe Dimension,Commercial software,Yes
5,Alibre Design,Commercial software,Yes
6,Aladdin4D,Commercial software,Yes
7,Amapi,Commercial software,Yes
8,Anim8or,Freeware,Yes
9,Animation:Master,Commercial software,Yes
10,ArchiCAD,Commercial software,Yes
11,Art of Illusion,GNU General Public License +,Yes
12,ArtMatic,Commercial software,Yes
13,AutoCAD,Commercial software,Yes
14,AutoQ3D Community,GNU GPLv2 +,Yes
15,AutoQ3D,Commercial software,Yes
16,Autodesk 3ds Max,Commercial software,Yes
17,Autodesk Inventor,Commercial software,Yes
18,Autodesk Maya,Commercial software,Yes
19,Autodesk Mudbox,Commercial software,Yes
20,Autodesk Revit,Commercial software,Yes
21,Autodesk Softimage,Commercial software,Yes
22,Autodesk Fusion 360,Commercial software,Yes
23,Blender,GNU GPLv2+,Yes
24,BricsCAD,Commercial software,Yes
25,BRL-CAD,GNU LGPL and BSD,Yes
26,Bryce,Commercial software,Yes
27,CATIA,Commercial software,Yes
28,Carrara,Commercial software,Yes
29,Cheetah3D,Commercial software,Yes
30,Cinema 4D,Commercial software,Yes
31,CityEngine,Commercial software,No
32,Clara.io,Freemium,Yes
33,Daz Studio,Freeware,Yes
34,DesignSpark Mechanical,Freemium,No
35,Electric Image Animation System,Commercial software,Yes
36,Exa Corporation,Commercial software,Yes
37,Flux,Freeware,No
38,Form-Z,Commercial software,Yes
39,FreeCAD,GNU LGPL,Yes
40,Geomodeller3D,Commercial software,Yes
41,Hexagon,Commercial software,No
42,Houdini,Commercial software,Yes
43,IRONCAD,Commercial software,Yes
44,KeyCreator,Commercial software,Yes
45,LightWave 3D,Commercial software,Yes
46,Makers Empire 3D,Freemium,Yes
47,MASSIVE,Commercial software,Yes
48,Metasequoia,Commercial software,Yes
49,MicroStation,Commercial software,Yes
50,MikuMikuDance,Freeware,Yes
51,Milkshape 3D,Commercial software,No
52,Modo,Commercial software,Yes
53,NX,Commercial software,No
54,Onshape,Commercial software,Yes
55,Open CASCADE,GNU LGPL,Yes
56,OpenSCAD,GNU GPL,Yes
57,Oculus Medium,Commercial software,Yes
58,Poser,Commercial software,Yes
59,PowerAnimator,Commercial software,Yes
60,Promine,Commercial software,Yes
61,Pro/ENGINEER,Commercial software,Yes
62,Quake Army Knife,GNU GPL,Yes
63,Realsoft 3D,Commercial software,Yes
64,Remo 3D,Commercial software,Yes
65,RFEM,Commercial software,Yes
66,Rhinoceros 3D,Commercial software,Yes
67,ScanIP,Commercial software,Yes
68,Sculptris,Freeware,No
69,Seamless3d,MIT,No
70,SelfCAD,Freemium,Yes
71,Shade 3D,Commercial software,Yes
72,SharkCAD,Commercial software,Yes
73,Silo,Commercial software,No
74,SketchUp,Freemium,Yes
75,Solid Edge,Commercial software,Yes
76,solidThinking,Commercial software,Yes
77,SolidWorks,Commercial software,Yes
78,SpaceClaim,Commercial software,Yes
79,Strata 3D,Commercial software,Yes
80,Sweet Home 3D,GNU GPL,Yes
81,Swift 3D,Commercial software,No
82,Tekla Structures,Commercial software,No
83,TrueSpace,Freeware,Yes
84,Wings 3D,BSD,Yes
85,Wolfram Mathematica,Commercial software,Yes
86,ViaCAD,Commercial software,Yes
87,ZBrush,Commercial software,Yes
88,Zmodeler,Commercial software,Yes
